this,,,,,,,
,isnt,,,,,,
,,useful,,,,,
,,,CSV,,,,
,,,,data,,,
blah,,,,,,,
,deleteme,,,,,,
killthistoo,,,,,,,
,andalsothis,,,,,,
SSN,Employee Name,Age,Job Title,Department,Hire Date,Account Balance,Employment Status
123456789,Gina Jimenez,45,Manager,Sales,11/5/2022,35493.12,Active
987654321,Robert Jackson,38,Supervisor,Marketing,3/13/2017,24192.5,Terminated
111222333,Robert Greene,42,Employee,IT,6/10/2018,17456.23,Active
444555666,Alice Brown,35,Manager,HR,1/2/2008,39191.45,Active
777888999,Mike Davis,49,Supervisor,Finance,10/5/2006,26881.52,Terminated
123456780,Emily Chen,32,Employee,Operations,9/1/2011,12693.15,Active
987654390,Erik Henderson,41,Manager,Procurement,11/17/2019,45321.9,Active
111222444,James Hanna,29,Supervisor,Communications,4/28/2024,19513.27,Terminated
444555777,Mitchell Velazquez,48,Employee,Facilities,12/27/2023,14392.5,Active
777888000,Victoria Snyder,40,Manager,Security,9/19/2019,29562.81,Active
123456991,Kevin Roberts,35,Supervisor,Maintenance,10/24/2022,20821.91,Terminated
987654601,Brandy Werner DDS,39,Employee,Engineering,10/13/2020,18182.9,Active
111222555,Chad Bryant,44,Manager,Quality Control,12/17/2017,43281.5,Active
444555888,Jennifer Johnson,36,Supervisor,Supply Chain,4/15/2015,26662.8,Terminated
777888111,Clifford Ramirez,31,Employee,Warehouse,2/28/2019,14421.95,Active
123456012,Paul Diaz,43,Manager,Logistics,1/16/2015,39132.45,Active
987654222,Mark Larson,28,Supervisor,Customer Service,3/20/2019,19523.15,Terminated
444555444,Julia Reyes,33,Manager,Transportation,8/10/2019,24151.9,Active
777888556,Michael Hill,45,Supervisor,Returns,7/19/2020,29421.4,Terminated
123456667,Bethany Sullivan,30,Employee,Packaging,4/25/2020,16923.6,Active
987654889,Erica Anderson,38,Manager,Returns Processing,6/30/2019,30451.5,Active
111222888,Nicholas Goodman,41,Supervisor,Quality Assurance,8/4/2016,27881.9,Terminated
444555999,Mary Walker,34,Employee,Returns Inspection,10/6/2023,22521.2,Active
